
2022-11-06 18:39:32.328697; Добавили сотрудника
2022-11-06 18:39:53.689594; Остановили программу
2022-11-06 18:54:41.551070; Добавили сотрудника
2022-11-06 18:56:32.287281; Удалили сотрудника
2022-11-06 18:58:05.886946; Добавили сотрудника
2022-11-06 19:00:09.726392; Добавили сотрудника
2022-11-06 19:00:13.264142; Сохранили изменения
2022-11-06 19:01:25.454879; Добавили сотрудника
2022-11-06 19:01:28.145979; Сохранили изменения
2022-11-06 19:01:52.031198; Удалили сотрудника
2022-11-06 19:03:06.007832; Вывели весь список сотрудников на экран
2022-11-06 19:03:11.606892; Остановили программу
2022-11-06 19:04:38.343102; Удалили сотрудника
2022-11-06 19:06:12.391626; Удалили сотрудника
2022-11-06 19:06:25.007868; Сохранили изменения
2022-11-06 19:08:17.086916; Вывели весь список сотрудников на экран
2022-11-06 19:08:50.551031; Добавили сотрудника
2022-11-06 19:08:53.310828; Сохранили изменения
2022-11-06 19:09:30.670952; Добавили сотрудника
2022-11-06 19:09:32.751301; Сохранили изменения
2022-11-06 19:09:49.559811; Удалили сотрудника
2022-11-06 19:09:56.119488; Сохранили изменения
2022-11-06 19:10:41.942792; Добавили сотрудника
2022-11-06 19:10:44.280901; Сохранили изменения
2022-11-06 19:11:07.798948; Удалили сотрудника
2022-11-06 19:11:10.671735; Сохранили изменения
2022-11-06 19:11:17.639308; Вывели весь список сотрудников на экран
2022-11-06 19:11:37.653730; Остановили программу
